"name","rating","service","no_of_emp","cmp_age","location"
"Bluestream Software Solution","4.7","IT Services & Consulting "," 1k-5k Employees ",NULL,"New Delhi"
"Accolite","3.6","IT Services & Consulting "," 1k-5k Employees ","16","Dallas"
"Mount Litera Zee School","3.9","Education & Training "," 1k-5k Employees ","29","Mumbai"
"Hella","4","Auto Components "," 1k-5k Employees ","124","Lippstadt"
"India Shelter Finance Corporation","4","NBFC "," 1k-5k Employees ","13","Gurgaon"
"Financial Software & Systems","3.8","FinTech "," 1k-5k Employees ","32","Chennai"
"T.v. Sundram Iyengar & Sons","4.3","Automobile "," 1k-5k Employees ","112","Chennai"
"Sun Life Financial","4.4","IT Services & Consulting "," 1k-5k Employees ","158","Toronto"
"Deccan Fine Chemicals","3.7","Agro Chemicals "," 1k-5k Employees ","15","Hyderabad/Secunderabad"
"MasterCard","4.2","IT Services & Consulting "," 1k-5k Employees ","57","Purchase"
"Quikr","3.7","Internet "," 1k-5k Employees ","15","Bangalore"
"Saud Bahwan Group","3.4","Automobile "," 201-500 Employees ","48","Muscat"
"Radical Minds","2.8","BPO "," 5k-10k Employees ","13","Gurgaon/Gurugram"
"Educomp Solutions","3.5","EdTech "," 11-50 Employees ","29","Gurgaon/Gurugram"
"Care Hospital","4","Healthcare "," 1k-5k Employees ","26","Hyderabad/Secunderabad"
"Prism Johnson","3.9","Building Material "," 1k-5k Employees ","31","Mumbai"
"Electrotherm","4.2","Iron & Steel "," 1k-5k Employees ","40","Ahmedabad"
"Micro Turners","3.7","Auto Components "," 51-200 Employees ","54","Panchkula"
"Northern Trust","3.9","Financial Services "," 5k-10k Employees ",NULL,"Bengaluru/Bangalore"
"Mindarika","3.8","Auto Components "," 1k-5k Employees ","31","Gurgaon/Gurugram"
"JK Paper","4","Pulp & Paper "," 1k-5k Employees ","61","Delhi/NCR"
"SoftAge Information Technology","4.1","IT Services & Consulting "," 1k-5k Employees ","29","Gurgaon/Gurugram"
"Rane Engine Valve Limited","4","Auto Components "," 1k-5k Employees ","64","Chennai"
"Lovely Professional University","3.5","Education & Training "," 1k-5k Employees ","18","Phagwara"
"Parag Milk Foods","3.9","FMCG "," 1k-5k Employees ","31","Mumbai"
"Welspun World","3.9","Building Material "," 1k-5k Employees ","38","Mumbai"
"TIAA Global Business Services","4.2","IT Services & Consulting "," 1k-5k Employees ","105","Manhattan"
"Titan Eye Plus","4.3","Other "," 1 Lakh+ Employees (Global) ","16","Bangalore/Bengaluru"
"Sunbeam Auto","3.7","Auto Components "," 1k-5k Employees ","37","Gurgaon/Gurugram"
"Border Security Force","4.6","Defence & Aerospace "," 1 Lakh+ Employees ","58","Delhi/NCR"
"Astral Adhesives","4.1","Chemicals "," 1k-5k Employees ","36","Ahmedabad"
"Balkrishna Industries","4.1","Auto Components "," 1k-5k Employees ","36","Mumbai"
"K Raheja Corp","4.2","Real Estate "," 1k-5k Employees ","67","Mumbai"
